HISTORY 2182A/B|SOCIAL HISTORY OF WOMEN IN CANADA|History 2140; GSWS 2139A/B, GSWS 2140, GSWS 2208E.||A survey of Canadian Women's History from first European contact to the 1960s, with a focus on the realities of women's lived experience through biography.|Western Main Campus|3 lecture hours.
HISTORY 2181A/B|SEXUAL HISTORY: EXPRESSION, REGULATION AND RIGHTS IN THE WEST SINCE 1800|||This course examines the history of sexuality from the nineteenth century to the present, investigating sexual desire, behaviour, and ideologies. Topics include the body, marriage, reproduction, prostitution, same-sex relations, and religious, medical and psychiatric intervention, and help demonstrate that sexuality has been the object of social scrutiny and political regulation.|Western Main Campus|2 lecture hours.
HISTORY 2180|THE HISTORY OF DEATH|||Death and taxes are said to be the only certainties in life but most people arguably know more about taxes than they do about death. This course explores the ideas and understandings surrounding death and dying and how they have changed from antiquity to present.|King's|3 hours.
HISTORY 2179|THE TWO WORLD WARS|||An examination of the causes, course and consequences of the First and Second World Wars, stressing comparison of the two conflicts. Students will be asked to consider a variety of historical analyses of both wars and to study the process of interpretation as well as events.|Western Main Campus,Huron,King's|2 hours.
HISTORY 2177A/B|THE TWO WORLD WARS|History 2179.||This survey course is aimed at expanding students’ knowledge of the World Wars as part of a larger, collective cataclysm. It considers these conflicts as part of a thirty-year crisis out of which the contemporary world emerged, fundamentally different from what might have been projected had they not occurred.|Western Main Campus|2 lecture hours weekly.
HISTORY 2175|NORTH AMERICA'S WARS|||A survey of selected armed conflicts within North America from the Spanish Conquest to the 20th Century. Topics may range from declared wars to civil conflicts including organized ethnic, racial, and labor violence. Particular attention will be paid to the impact of armed conflict upon society.|King's|2 hours.
HISTORY 2174A/B|HOCKEY’S HISTORIES|||This course examines many narratives in hockey historiography, including experiences and traditions across time, space, and peoples. Primary emphasis is on North America, but developments elsewhere are discussed. Topics include competing claims of origins, changing rules, amateurs vs. professionals, masculinity and violence, nationalism, women’s hockey, race, commercialization, and international competition.|Brescia|2.0 hours.
HISTORY 2172A/B|THE HISTORY OF SPORT|History 1820F if taken 2018-19, 2019-20.||This course offers an overview of a growing field of study. Drawing on a series of historical examples from antiquity to the present, the course examines the relationship of sport to nationalism, race, class, gender, politics and war, consumer culture, and economics.|King's|2 lecture hours. Cannot be used towards completion of a Kinesiology module.
HISTORY 2171A/B|GREED IS GOOD: THE HISTORY OF MODERN CAPITALISM|||This course explores American capitalism in the 1980s -  a decade defined by materialism, greed, and scandal on Wall Street. It examines, in particular, the rise of finance capitalism and considers this rise within the political and cultural context of the era.|Western Main Campus|2 lecture hours.
HISTORY 2170A/B|PARKS, PEOPLE, AND POWER|History 2296G at Brescia (Winter 2009 and Winter 2011).||This course examines conflicts over parks and other protected areas in Canada and the United States. It emphasizes changing ideas, shifting land use pressures, and power relations among diverse interests. Controversies over park establishment, management policies, and their environmental impacts will be discussed. Course requirements may include a field trip.|Brescia|2 hours.
HISTORY 2168A/B|TACKLING NATURE: THE ENVIRONMENT IN CANADIAN HISTORY|History 2123, History 2211E, and History 2296G at Brescia (Winter 2009 and Winter 2011).||This course highlights the environment as an historical force. It examines changing relationships between people and other aspects of the natural world. Topics include Aboriginal resource use, impacts of European colonization, attitudes toward nature, social conflicts over government policies affecting fish, forest, and wildlife, and the rise of environmental advocacy.|Brescia|2 hours.
HISTORY 2167A/B|SALT, SILK AND SILVER: ECONOMIC HISTORY OF EARLY MODERN EAST ASIA|Economics 2187F/G taught in 2016-2017 and Economics 2199F/G, taught in2014-2015.||This course is an introduction to the economic history of East Asia from the rise of a marketdominated society in China during the Tang-Song transition until the “Great Divergence” and relative decline of China compared to Western Europe.|King's|3 hours.
HISTORY 2166A/B|KOREAN WAVE AND BEYOND: SOUTH KOREAN POPULAR CULTURE|||This course will introduce social, cultural and political developments in South Korea via films, music and popular culture. Referring to earlier periods and to North Korea when necessary and continuing to the present-day Korean Wave, we will explore Korean popular culture to understand the modern history of Korea.|King's|3.0 seminar hours.
HISTORY 2165A/B|KOREAN SOCIAL AND CULTURAL HISTORY SINCE 1900|||A social and cultural history of Korea in the twentieth century. The course will focus on the early 20th century Japanese colonialism, the Korean war, and post war Korea.|King's|2 lecture hours.
HISTORY 2164A/B|COMMUNIST CHINA FROM MAO TO THE PRESENT|||This course will examine the People's Republic of China beginning with the emergence of communist policies during the Second Sino-Japanese War of the 1930s-40s. It will analyze the development of Maoism, the emergence of a free-market economy in the Deng Xiaoping era, and more recent changes.|Western Main Campus|2 lecture hours.
HISTORY 2163A/B|KOREAN SOCIAL AND CULTURAL HISTORY BEFORE 1900|||A social and cultural history of Korea from ancient times to the end of the nineteenth century. Emphasis will be placed on the Three Kingdoms, Silla, Koryo, and Choson periods.|King's|2 lecture hours.
HISTORY 2162A/B|A BASIC INTRODUCTION TO THE HISTORY OF THE MIDDLE EAST|||This course examines the peoples, cultures, religions, and politics of the Middle East. It begins by exploring the rise of Islam and ends with an examination of the impact of colonialism, the Arab-Israeli conflict, and oil production and wealth, as well as the forces that brought about the Arab Spring.|Western Main Campus|2 lecture hours.
HISTORY 2159A/B|MIDWIVES, MADONNAS, WITCHES AND WHORES: WOMEN IN EARLY MODERN EUROPE, 1500 - 1700|History 2459F/G.||This course will provide critical perspectives on the lives of European women 1500 to 1700. Students will analyze early modern perceptions of women, female life cycles, and the various roles of women: wife, mother, nun, martyr, midwife, citizen, soldier, worker, property owner, and artist, plus female rulers and regents.|Brescia|2 lecture hours.
HISTORY 2158A/B|FOOD IN WORLD HISTORY|||This course explores the role of food in world history with an emphasis on international exchange and cultural interaction following the discovery of the Americas. Students will consider the impact and influence of food upon politics, trade, conflict, and other aspects of society and culture.|Brescia|2 hours.
HISTORY 2156F/G|FOOD AND CONFLICT|Foods and Nutrition 3460F/G.||This course examines the role played by food in human conflicts. It examines the ways in which competition over access to food has led to violent domestic and international struggles and how food has been used as a weapon in such conflicts and more generally as an instrument of domination.|Brescia|3 lecture/seminar hours.
HISTORY 2148A/B|POLICE WORK AND FORENSICS IN VICTORIAN BRITAIN|||Late Victorian Britain was the setting for Arthur Conan Doyle's fictional 'consulting detective,' Sherlock Holmes, whose afterlife in television and film would have astonished his creator. We examine Holmes' world. Our subjects include the nineteenth century obsession with murder and the history of policing and detection.|Western Main Campus|2 lecture hours.
HISTORY 2147A/B|NAZI GERMANY|History 1404E.||We analyze how the Nazi Party came to power; the regime's use of propaganda, intimidation and terror within Germany after 1933; Hitler's foreign policy; Nazi methods in occupied Europe; anti-Semitism, the Holocaust, and other programs of mass murder; resistance within Germany, and the reasons for the regime's defeat.|Western Main Campus|2 lecture hours.
HISTORY 2144A/B|“ANARCHY IN THE UK”: POSTWAR BRITAIN THROUGH POPULAR MUSIC|||British history after 1945 is explored through the lens of popular music, from the Who and the Kinks to the Clash and the Slits. Themes to be examined include the Empire and decolonization, Northern Ireland, urban decay, immigration and racism, gender identities, class divisions, and economic inequalities.Extra information: 2 lecture hours per week.|Western Main Campus|
HISTORY 2140|WOMEN IN CANADIAN HISTORY:  CHANGING ROLES AND DIVERSE SOCIAL REALITIES|History 2182A/B; GSWS 2139A/B; GSWS 2140, GSWS 2208E.||A survey of Canadian women's history from first European contact to the 1960s, with a focus on the realities of women's lived experience as recorded through biography.|Western Main Campus|3 lecture hours.
HISTORY 2137A/B|DRAFT DODGERS, HIPPIES, AND BLACK PANTHERS: THE U.S. IN THE 1960S|History 3327F/G.||The 1960s is often perceived as a period of radical change, especially in the United States. We examine the civil rights movement, the Vietnam War and antiwar protests, the Free Speech and Women's Liberation movements, Great Society programs, and the development of a counterculture.|Western Main Campus|3 lecture hours.
HISTORY 2135A/B|AFRICAN-AMERICAN HISTORY: RACISM AND THE STRUGGLE FOR FREEDOM IN AMERICA|History 3311F/G, History 3313F/G.||This course explores African-American history from the end of slavery to today. We trace the diverse experiences of people of African descent in the United States, including slavery and the struggle to end it, the segregated Jim Crow period, the Black Freedom/civil rights movement, hip-hop culture, and more recent developments.|Western Main Campus|3 lecture hours.
